,first_name,last_name,interest_list,gender,employment_status,mobile,connection_id,email,attend_status,hours_served_opportunity,hours_served_all,opportunity_name,opportunity_org,opportunity_type,employer,contact_id
86,Susan,Biggerstaff,,Female,,,CO-093676,susan.biggerstaff@xmail.com,Attended (and Hours Verified),2.0,141.0,Serve-A-Thon: Deliver Daily Necessities to Homeless People in Sham Shui Po,HandsOn Hong Kong ,Project,,0030I00001aFRLb
87,Elena,Morgan,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-095416,elena.morgan@xmail.com,Attended (and Hours Verified),1.25,111.4,Youth Opportunity: Help Ethnic Minority Children with Schoolwork in Yau Ma Tei,HandsOn Hong Kong ,Project,,0030I00001aH45t
88,Leatha,Sasser,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-095415,leatha.sasser@xmail.com,Attended (and Hours Verified),1.25,111.4,Youth Opportunity: Help Ethnic Minority children with Schoolwork in Kwun Tong,HandsOn Hong Kong ,Project,,0030I00001aH45t
89,Rosa,Miller,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-095307,rosa.miller@xmail.com,Attended (and Hours Verified),1.25,111.4,Youth Opportunity: Help Ethnic Minority children with Schoolwork in Kwun Tong,HandsOn Hong Kong ,Project,,0030I00001aH45t
90,Tina,Piccinone,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-095165,tina.piccinone@xmail.com,Attended (and Hours Verified),1.25,111.4,Youth Opportunity: Help Ethnic Minority Children with Schoolwork in Yau Ma Tei,HandsOn Hong Kong ,Project,,0030I00001aH45t
91,Karla,Reyes,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-095110,karla.reyes@xmail.com,Attended (and Hours Verified),1.25,111.4,Youth Opportunity: Help Ethnic Minority children with Schoolwork in Kwun Tong,HandsOn Hong Kong ,Project,,0030I00001aH45t
92,Meagan,Lue,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-095109,meagan.lue@xmail.com,Attended (and Hours Verified),1.25,111.4,Youth Opportunity: Help Ethnic Minority children with Schoolwork in Kwun Tong,HandsOn Hong Kong ,Project,,0030I00001aH45t
93,Emma,Krausmann,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-095108,emma.krausmann@xmail.com,Attended (and Hours Verified),1.25,111.4,Youth Opportunity: Help Ethnic Minority children with Schoolwork in Kwun Tong,HandsOn Hong Kong ,Project,,0030I00001aH45t
94,Jesse,Walden,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-094842,jesse.walden@xmail.com,Attended (and Hours Verified),1.25,111.4,Youth Opportunity: Help Ethnic Minority children with Schoolwork in Kwun Tong,HandsOn Hong Kong ,Project,,0030I00001aH45t
95,Cheryl,Lockman,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-094841,cheryl.lockman@xmail.com,Attended (and Hours Verified),1.25,111.4,Youth Opportunity: Help Ethnic Minority Children with Schoolwork in Yau Ma Tei,HandsOn Hong Kong ,Project,,0030I00001aH45t
96,Josephine,Hill,"['Animal Welfare ', ' Assistance and Support for Elderly', ' Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Health and Wellness ', ' Support for Homeless People ', ' International Service', ' Schools', ' Family Services', ' Arts & Culture']",Female,Not Employed,,CO-094836,josephine.hill@xmail.com,Declined,0.0,111.4,Youth Opportunity: Help Ethnic Minority children with Schoolwork in Kwun Tong,HandsOn Hong Kong ,Project,,0030I00001aH45t
97,Sheila,Pattee,"['Education and Empowerment for Children and Youth ', ' Environmental Conservation ', ' Education and Empowerment for Refugees and Asylum Seekers ', ' Health and Wellness ', ' Support for Homeless People ', ' Adult Education', ' International Service', ' Family Services']",Female,Part Time,,CO-093631,sheila.pattee@xmail.com,Attended (and Hours Verified),3.0,9.5,Serve-A-Thon: Help at Food Station in Lai Chi Kok (Youth Welcome),HandsOn Hong Kong ,Project,,0030I00001aHkD1
98,Irene,Thompson,,Female,Full Time,,CO-094454,irene.thompson@xmail.com,Attended (and Hours Verified),2.0,4.0,Family Opportunity: Deliver Daily Necessities and Warmth to Homeless in YMT,HandsOn Hong Kong ,Project,,0030I00001aS0yI
